871,Good morning Vietnam,Barry Levinson,1987,,DVD96
214,Gorky Park,Michael Apted,1983,,DVD50
134,Grandes Esperanzas,Alfonso Cuarón,1998,,DVD35
213,Grand Prix,John Frankenheimer,1966,,DVD50
346,Gran Torino,Clint Eastwood,2008,,DVD84
121,Granujas de medio pelo,Woody Allen,2000,,DVD31
1026,Great battle of the Japan sea,Seiji Maruyama,1969,V.O.S. (Japanese with english subtitles),DVD140
935,Green Zone,Paul Greengrass,2010,,DVD113
335,Guerra y Paz,King Vidor,1956,,DVD81
325,Guerra y Paz,Sergei Bondarchuk,1968,,DVD79
35,Guía del autoestopìsta galáctico,Garth Jennings,2005,,DVD16
972,Hacia la tormenta,Thaddeus O'Sullivan,2009,,DVD130
21,Hamlet,Franco Zeffirelli,1990,,DVD13
22,Hamlet,Kenneth Branagh,1996,,DVD13
23,Hamlet,Michael Almereyda,2000,null,DVD13
236,Hangar 18,James L. Conway,1980,,DVD56
331,Hijos de la gloria,Krsztina Goda,2006,,DVD80
326,Hijos de los Hombres,Alfonso Cuarón,2006,,DVD8
382,Historia de un crimen,Douglas Mc Grath,2006,null,CD'R
9,Horizonte final,Paul W.S. Anderson,1997,,DVD10
405,Huida a medianoche,Martin Brest,1988,DVD,DVD'R
937,Human nature,Michel Gondry,2001,,DVD121
242,Huracán Carter,Norman Jewison,1999,,DVD58
1024,Hurly Burly,Anthony Drazan,1998,V.O.S. (English subtitles),DVD139
67,Hypercube,Andrzej Sekula,2002,Xvid,DVD22
314,Import Export,Ulrich Seidl,2007,,DVD75
216,Indiana Jones en busca del arca perdida,Steven Spielberg,1981,,DVD50
252,Indiana Jones y la última cruzada,Steven Spielberg,1989,,DVD60
891,Indochina,Régis Wargnier,1992,,DVD101
329,Infiltrados,Martin Scorsesse,2007,,DVD8
224,Inland Empire,David Lynch,2007,,DVD53
388,Intacto,Fresnadillo,2001,Divx,CD'R
898,In the loop,Armando Iannucci,2009,,DVD103
215,Invasión,"Oliver Hirschbiegel, James McTeigue",2007,,DVD50
919,Invictus,Clint Eastwood,2009,,DVD109
448,Iván el terrible,Sergei Eisenstein,1944,,DVD87
455,Iván el terrible II,Sergei Eisenstein,1946,null,DVD89
136,Jardines de piedra,Francis Ford Coppola,1987,,DVD35
1035,JFK,Oliver Stone,1991,V.O.S.,DVD142
145,Jindabyne,Ray Lawrence,2006,,DVD36
953,Johnny cogió su fusil,Dalton Trumbo,1971,,DVD125
74,Johnny Mnemonic,Robert Longo,1995,null,DVD23
414,John Q,Nick Cassavetes,2002,VCD,CD'R
178,Juegos de Guerra,John Badham,1983,,DVD43
896,"Kafka, la verdad oculta",Steven Soderbergh,1991,,DVD102
78,Kalifornia,Dominic Sena,1994,,DVD24
885,Katyn,Andrzej Wajda,2007,,DVD100
62,King Kong,Peter Jackson,2005,Xvid,DVD20
878,Kramer contra Kramer,Robert Benton,1979,,DVD98
244,L.A. Confidential,Curtis Hanson,1997,,DVD59
188,La amenaza Andrómeda,Robert Wise,1971,,DVD45
275,La batalla de Inglaterra,Guy Hamilton,1969,,DVD66
278,La batalla de Midway,Jack Smight,1976,,DVD67
43,La busqueda,Jon Turteltaub,2004,Xvid,DVD17
98,La caja Kovak,Daniel Monzón,2005,,DVD28
398,La caza del octubre rojo,John McTiernan,1990,Divx(16:9),CD'R
249,La Chaqueta metálica,Stanley Kubrick,1987,,DVD6
1004,La ciudad del silencio,Gregory Nava,2006,,DVD132
153,La comedia sexual de una noche de verano,Woody Allen,1982,,DVD38
327,La cortina de humo,Barry Levinson,1997,,DVD8
192,La cortina Rasgada,Alfred Hitchcock,1966,null,DVD46
42,La cosecha de hielo,Harold Ramis,2005,Xvid,DVD17
125,La dalia negra,Brian de Palma,2006,,DVD33
930,La decisión de Anne,Nick Cassavetes,2010,,DVD114
437,La delgada línea roja,Terrence Malick,1998,Divx(16:9)(2CD's),2CD'R
339,La duda,John Patrick Shanley,2008,,DVD82
47,Ladykillers,Joel & Ethan Coen,2004,Divx,DVD18
245,La fiera de mi niña,Howard Hawks,1938,,DVD59
449,La gata sobre el tejado de zinc,Richard Brooks,1958,,DVD88
180,La gran aventura de Pee-Wee,Tim Burton,1985,,DVD43
184,La gran estafa,Lasse Hallström,2007,,DVD44
146,La gran evasión,John Sturges,1962,,DVD37
232,La guerra de Charlie Wilson,Mike Nichols,2007,,DVD55
240,La guerra de los mundos,Byron Haskin,1953,,DVD58
886,La hija de Ryan,David Lean,1970,,DVD100
109,La hora final,Stanley Kramer,1959,,DVD3
879,La infancia de Iván,Andrei Tarkovsky,1962,,DVD98
291,La interprete,Sidney Pollack,2005,,DVD7
407,La Isla,Michael Bay,2005,DVD'R,DVD'R
350,La jungla 4.0,Len Wiseman,2007,,DVD85
14,La lista de Schindler,Steven Spielberg,1993,null,DVD11
122,La maldición del escorpión de Jade,Woody Allen,2001,,DVD31
45,La memoria de los muertos,Omar NaÏm,2004,,DVD17
217,La milla verde,Frank Darabont,1999,,DVD51
431,La Naranja Mecánica,Stanley Kubrick,1971,MPEG(2CD's),2CD'R
938,La noche de los girasoles,Jorge Sánchez-Cabezudo,2006,,DVD121
427,La novena puerta,Roman Polanski,1999,DVD,DVD
341,La pareja del año,Joe Roth,2001,,DVD83
426,La prueba,Roger Donaldson,2003,Divx(16:9),CD'R
1018,La red social,David Fincher,2010,,DVD136
852,La reina Victoria,Jean Marc Vallée,2009,,DVD92
279,Las águilas azules,John Guillermin,1966,,DVD67
872,Las cuatro plumas,Shekhar Kapur,2002,,DVD96
285,Las dos caras de la verdad,Gregory Hoblit,1995,,DVD69
237,Las Hermanas Bolena,Justin Chadwick,2008,,DVD56
432,Las Horas,Stephen Daldry,2003,null,CD'R
977,Las normas de la casa de la sidra,Lasse Hallström,1999,,DVD116
364,La Sombra del Diablo,Alan J. Pakula,1997,DVD,DVD
853,La sombra del poder,Kevin Macdonald,2009,,DVD92
131,Last days,Gus Van Sant,2005,,DVD34
939,Las vidas posibles de Mr. Nobody,Jaco Van Dormael,2009,,DVD121
860,La tapadera,Sydney Pollack,1993,,DVD93
337,La teta asustada,Claudia Llosa,2009,,DVD82
941,La última estación,Michael Hoffman,2009,,DVD122
887,La última noche,Spike Lee,2002,,DVD100
149,La última noche de Boris Grushenko,Woody Allen,1975,,DVD37
235,La vida de David Gale,Alan Parker,2003,,DVD56
112,La vida de los otros,Florian Henckel-Donnersmarck,2006,,DVD30
851,Lawrence de arabia,David Lean,1962,,DVD91
61,Lazos de Guerra,Je-Gyu Kang,2004,Xvid,DVD20
348,Lejos de la Tierra Quemada,Guillermo Arriaga,2008,,DVD85
194,Leones por corderos,Robert Redford,2007,,DVD46
20,Leyendas de pasión,Edward Zwick,1994,,DVD13
412,Lobo,Miguel Courtois,2004,Divx(16:9),CD'R
391,"Lock, stock & two smoking barrels",Guy Ritchie,1998,ASF(16:9),CD'R
1013,Lope,Andrucha Waddington,2010,,DVD134
31,Los Borgia,Antonio Hernández,2006,,DVD15
99,Los cañones de Navarone,J. Lee Thompson,1961,,DVD28
340,Los chicos de Scottsboro,Terry Green,2006,,DVD82
18,Los duelistas,Ridley Scott,1977,,DVD12
271,Los falsificadores,Stefan Ruzowitzky,2007,,DVD65
926,Los hombres que miraban fijamente a las cabras,Grant Heslov,2009,,DVD112
859,Los hombres que no amaban a las mujeres,Niels Arden Oplev,2009,,DVD93
165,Los idiotas,Lars Von Trier,1998,,DVD40
384,Los lunes al sol,Fernando León de Aranoa,2002,Divx(16:),CD'R
11,Los pájaros,Alfred Hitchcock,1963,null,DVD11
83,Los que saben morir,Lamont Johnson,1970,,DVD24
142,Los Simpson,David Silverman,2007,,DVD36
